"sample_size","t","beta_hat_mean","beta_hat_sd","n_estimates","beta_true"
200,0.320689655172414,1.06806189862177,0.0463144746147086,200,1.40297356320256
200,0.348275862068966,1.0188880329868,0.0524459711833744,200,1.31533692251938
200,0.375862068965517,0.972033461889182,0.0575212072116712,200,1.20326635557588
200,0.403448275862069,0.927498185328917,0.0615499534666759,200,1.07012038066434
200,0.431034482758621,0.885282203306007,0.0651181543647162,200,0.919889101560264
200,0.458620689655172,0.84538551582045,0.069259846265462,200,0.757074632535961
200,0.486206896551724,0.807808122872248,0.0753126314792807,200,0.586556179500517
200,0.513793103448276,0.773228609252725,0.0843646428636016,200,0.413443820499482
200,0.541379310344828,0.745718483709827,0.0947226654728381,200,0.242925367464039
200,0.568965517241379,0.725956331034878,0.104553256003009,200,0.0801108984397354
200,0.596551724137931,0.71394215122788,0.112925053098048,200,-0.0701203806643438
200,0.624137931034483,0.709675944288831,0.119337954486624,200,-0.20326635557588
200,0.651724137931035,0.713157710217732,0.123516680394599,200,-0.315336922519378
200,0.679310344827586,0.724387449014582,0.125309699106206,200,-0.402973563202562
200,0.706896551724138,0.743365160679383,0.124641161575079,200,-0.463549992519223
200,0.73448275862069,0.770090845212133,0.121490423334521,200,-0.495250862769342
200,0.762068965517241,0.802837252977064,0.116361536397633,200,-0.497126165797167
200,0.789655172413793,0.834964315432549,0.111074902367758,200,-0.46911970273002
200,0.817241379310345,0.865816273381087,0.10573860647627,200,-0.41207076813987
200,0.844827586206897,0.895393126822679,0.100287153132683,200,-0.327688998156891
200,0.872413793103448,0.923694875757324,0.0946672394353112,200,-0.218503136283962
200,0.9,0.950721520185023,0.0888406818138508,200,-0.0877852522924734
500,0.1,1.25878295855818,0.0576906556366152,200,1.08778525229247
500,0.127586206896552,1.28912735279647,0.05900227375751,200,1.21850313628396
500,0.155172413793103,1.30176249688584,0.0577639946419825,200,1.32768899815689
500,0.182758620689655,1.29668839082629,0.0535474808873062,200,1.41207076813987
500,0.210344827586207,1.27390503461782,0.0465385432184129,200,1.46911970273002
500,0.237931034482759,1.23341242826044,0.0380067613154273,200,1.49712616579717
500,0.26551724137931,1.17668980235448,0.032207905482777,200,1.49525086276934
500,0.293103448275862,1.11871550964383,0.0341208209074334,200,1.46354999251922
500,0.320689655172414,1.06338579821073,0.0404279614771179,200,1.40297356320256
500,0.348275862068966,1.01070066805518,0.0476065525282521,200,1.31533692251938
500,0.375862068965517,0.960660119177187,0.054236159405499,200,1.20326635557588
500,0.403448275862069,0.913264151576743,0.0600363578974965,200,1.07012038066434
500,0.431034482758621,0.86851276525385,0.0652853734542983,200,0.919889101560264
500,0.458620689655172,0.826405960208509,0.0706071381733416,200,0.757074632535961
500,0.486206896551724,0.78694373644072,0.076858711534668,200,0.586556179500517
500,0.513793103448276,0.750822705109804,0.0848025533390401,200,0.413443820499482
500,0.541379310344828,0.722222533171695,0.0932804056082954,200,0.242925367464039
500,0.568965517241379,0.701839831785716,0.10101350715074,200,0.0801108984397354
500,0.596551724137931,0.689674600951865,0.107321265788306,200,-0.0701203806643438
500,0.624137931034483,0.685726840670144,0.111818035277752,200,-0.20326635557588
500,0.651724137931035,0.689996550940552,0.114282164541745,200,-0.315336922519378
500,0.679310344827586,0.70248373176309,0.11458825143964,200,-0.402973563202562
500,0.706896551724138,0.723188383137756,0.112673838246253,200,-0.463549992519223
500,0.73448275862069,0.752110505064552,0.108526106503269,200,-0.495250862769342
500,0.762068965517241,0.787403658780824,0.102651438093973,200,-0.497126165797167
500,0.789655172413793,0.821969576793536,0.096872885448448,200,-0.46911970273002
500,0.817241379310345,0.855107249140864,0.0913274655914378,200,-0.41207076813987
500,0.844827586206897,0.886816675822808,0.0859737562410769,200,-0.327688998156891
500,0.872413793103448,0.917097856839368,0.0807749716027027,200,-0.218503136283962
500,0.9,0.945950792190544,0.0757014553747742,200,-0.0877852522924734
1000,0.1,1.25994835165132,0.0593208201278719,200,1.08778525229247
1000,0.127586206896552,1.2936509459563,0.0613283172654506,200,1.21850313628396
1000,0.155172413793103,1.30889093143358,0.060430549490927,200,1.32768899815689
1000,0.182758620689655,1.30566830808316,0.0561841200322151,200,1.41207076813987
